2017-10-7,MTL,WSH,Away,0,1,0,0,1,6,39,23,0,4,0.0,1,75.0,26,41,38.8
2017-10-7,DAL,STL,Away,0,1,0,0,2,4,40,21,1,4,25.0,1,50.0,31,35,47.0
2017-10-7,SJS,LAK,Home,0,1,0,0,1,4,25,38,0,4,0.0,0,100.0,35,34,50.7
2017-10-7,BUF,NYI,Away,0,1,0,0,3,6,29,33,0,4,0.0,0,100.0,28,31,47.4
2017-10-7,WPG,CGY,Away,0,1,0,0,3,6,28,45,1,3,33.3,2,66.7,36,32,52.9
2017-10-7,EDM,VAN,Away,0,1,0,0,2,3,35,26,1,5,20.0,1,85.7,27,33,45.0
2017-10-7,CBJ,CHI,Away,0,1,0,0,1,5,33,29,0,2,0.0,1,50.0,30,28,51.7
2017-10-7,COL,NJD,Away,0,1,0,0,1,4,41,39,0,6,0.0,3,25.0,26,26,50.0
2017-10-7,TBL,FLA,Away,0,1,0,0,4,5,30,48,1,6,16.7,1,75.0,34,35,49.3
2017-10-7,NSH,PIT,Away,0,1,0,0,0,4,26,34,0,5,0.0,0,100.0,38,27,58.5
2017-10-8,NYR,MTL,Home,1,0,0,2,2,0,25,34,0,3,0.0,0,100.0,29,22,56.9
2017-10-8,MTL,NYR,Away,0,1,0,0,0,2,34,25,0,1,0.0,0,100.0,22,29,43.1
2017-10-9,NJD,BUF,Away,1,0,0,2,6,2,31,25,0,4,0.0,1,75.0,28,27,50.9
2017-10-9,STL,NYI,Away,1,0,0,2,2,2,35,42,1,6,16.7,0,100.0,27,27,50.0
2017-10-9,TOR,CHI,Home,1,0,0,2,4,3,43,21,1,6,16.7,1,83.3,39,25,60.9
2017-10-9,CGY,ANA,Away,1,0,0,2,2,0,29,43,1,4,25.0,0,100.0,22,29,43.1
2017-10-9,WPG,EDM,Away,1,0,0,2,5,2,43,39,1,4,25.0,0,100.0,37,31,54.4
2017-10-9,COL,BOS,Away,1,0,0,2,4,0,23,29,0,1,0.0,0,100.0,15,37,28.8
2017-10-9,TBL,WSH,Home,1,0,0,2,4,3,40,26,1,5,20.0,2,50.0,32,32,50.0
